Alias,Title,Subtitle,,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
yoga-danh-cho-phai-dep,Yoga dành cho phái đẹp,"Các bài tập YOGA dành cho phái đẹp nâng cao sức khỏe, giữ năng lượng cho ngày dài làm việc",https://www.youtube.com/watch?v=YOWz13x1-gY&list=PL-xa1TEVfkueZlGRXpXMvQg_JkXpZwPWI&index=5,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,,,,,
,,,,"""Hà tìm đến Yoga với mong muốn giải tỏa những căng thẳng, muộn phiền trong cuộc sống. Sau nhiều năm tập luyện, Yoga đã cho Hà nhiều hơn thế. Và bây giờ, Yoga đã trở thành một phần trong cuộc sống của Hà."" - chia sẻ của nữ ca sĩ Hồ Ngọc Hà.",- Bài học này không yêu cầu người tập phải có kiến thức về Yoga từ trước,"Khóa học này sẽ giúp những người mới bắt đầu có thể trang bị những kỹ năng cơ bản nhất của Yoga để có thể tự luyện tập hàng ngày nhằm có một cuộc sống khỏe mạnh, thanh tịnh.","Khóa học này đặc biệt dành cho phái đẹp, tuy nhiên phái mạnh vẫn có thể luyện tập nếu thích",,YOGA dành cho nữ tập luyện bài sức khỏe và đề kháng,16:49,video,https://www.youtube.com/watch?v=GW39x-MmR24&index=3&list=PL-xa1TEVfkueZlGRXpXMvQg_JkXpZwPWI
,,,,"Hãy luyện tập Yoga một cách kiên định, hài hòa và bạn sẽ thấy rõ hiệu quả giúp cải thiện sức khỏe và sự cân bằng, tái tạo sinh khí và năng lượng, kiểm soát stress, trở nên điềm tĩnh và cân bằng nội tâm, nâng cao sự mềm dẻo cũng như nhận thức tâm linh, kiểm soát cân nặng và đạt tới khả năng hấp thu năng lượng vũ trụ trong từng hơi thở.","- Người học có thể luyện tập thêm ở nhà và chỉ cần chuẩn bị thảm, khăn lau, một chai nước. một không gian yên tĩnh.","Luyện tập Yoga một cách kiên định, hài hòa và bạn sẽ thấy rõ hiệu quả giúp cải thiện sức khỏe và sự cân bằng, tái tạo sinh khí và năng lượng, kiểm soát stress, trở nên điềm tĩnh và cân bằng nội tâm, nâng cao sự mềm dẻo cũng như nhận thức tâm linh, kiểm soát cân nặng và đạt tới khả năng hấp thu năng lượng vũ trụ trong từng hơi thở.",,,YOGA dành cho nữ tập luyện bài năng lượng sức mạnh,15:29,video,https://www.youtube.com/watch?v=fjh5NhF8SNg&list=PL-xa1TEVfkueZlGRXpXMvQg_JkXpZwPWI&index=2
,,,,"Với từng bước hướng dẫn cụ thể, các bài tập đặc biệt sẽ rất thích hợp cho những ai lần đầu làm quen với yoga. Người học có thể luyện tập thêm ở nhà và chỉ cần chuẩn bị thảm, khăn lau, một chai nước. một không gian yên tĩnh. Tập luyện tốt nhất vào buổi sáng, trước khi ăn hoặc sau khi ăn 2 tiếng đồng hồ","- Tập luyện tốt nhất vào buổi sáng, trước khi ăn hoặc sau khi ăn 2 tiếng đồng hồ",,,,YOGA dành cho nữ tập luyện bài cơ thể gợi cảm,15:19,video,https://www.youtube.com/watch?v=A1VdRTZW0W4&list=PL-xa1TEVfkueZlGRXpXMvQg_JkXpZwPWI
,,,,"Trải nghiệm Yoga đích thực là khi bạn tìm đến tận sâu thẳm của thanh tịnh, cảm nhận được âm hưởng của tâm trí tĩnh lặng và tập trung vào cốt lõi của sự sống. Hãy đón nhận nguồn sinh lực giúp trẻ hóa cơ thể và tâm trí trong bầu không khí thanh khiết tại các phòng tập Yoga đẳng cấp tại California Fitness",,,,,YOGA dành cho nữ tập luyện bài thư giãn tĩnh tâm,15:20,video,https://www.youtube.com/watch?v=XtSWVqWZ7jE&index=4&list=PL-xa1TEVfkueZlGRXpXMvQg_JkXpZwPWI
,,,,"California Fitness có cả phòng tập ở nhiệt độ 40oC, giúp bạn giải độc cơ thể với Hot Yoga. Bạn sẽ có cơ hội trải nghiệm với hơn 20 phong cách Yoga khác nhau, bao gồm cả Hatha, Ashtanga, Vinyasa, Hot Yoga, Meditation (Thiền), Pranayama và Indian Dance (Múa Ấn Độ).",,,,,,,,
